bondLen1,bondLen2,bondAng,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,intgErr,sampNum
1.87233811,2.58700291,0.63722896,0.59046692,1.6E-07,0.15834277,-2.37E-06,0.00856254,-2.47E-06,1.47E-06,-0.0083876,-0.00061745,2.204E-05,0.07033682,-0.00251303,1.859E-05,-6.28E-06,-0.09509912,-0.00152882,0.07940426,-0.00011465,7.25E-05,-0.11374567,0.00250948,-5.425E-05,3.642E-05,0.1413144,0.00837055,3.86E-06,1
1.58938985,3.2299578,0.59232659,0.6588882,-2.6E-07,0.14396022,0.00216612,0.02838107,1.64E-06,3.4E-06,-0.04207415,0.00102112,5.13E-06,0.01785631,0.00131384,9.1E-07,-1.547E-05,-0.03112835,-0.00772355,0.05028149,-1.045E-05,-5.177E-05,-0.0760706,-0.00539792,-3.513E-05,1.006E-05,0.10231717,0.01815417,2.72E-06,2
2.04661084,3.46175711,0.63065552,0.56267372,-4.05E-06,0.15218544,-0.00075312,-0.00724784,8.99E-06,1.392E-05,0.02121576,0.00390524,3.004E-05,0.09265853,0.00051458,5.162E-05,-3.435E-05,-0.122431,-0.01051637,0.06910558,-7.7E-07,-0.00022005,-0.09872424,-0.0021363,-0.0002336,-0.00016292,0.11533902,0.01382194,2.52E-06,3
2.09147299,3.35815667,0.61869126,0.54588787,-3.4E-07,0.15078648,-0.00153998,-0.0134017,3.45E-06,-9.76E-06,0.03200353,0.00393112,-7.17E-06,0.09974964,1.3E-05,3.31E-06,2.337E-05,-0.13058882,-0.00936783,0.06222742,5.134E-05,-0.00019814,-0.08829549,-0.00096568,-9.766E-05,-5.353E-05,0.09941503,0.01084914,4.97E-07,4
2.05446502,3.00825321,0.61623814,0.54997849,-4.5E-06,0.1538584,-0.00145748,-0.00995682,1.039E-05,8.24E-06,0.02577676,0.0021197,-3.9E-07,0.09691107,-0.00126116,3.096E-05,-1.617E-05,-0.1276665,-0.00584588,0.06744686,0.00014071,-0.00015602,-0.0953873,0.00026587,-0.00014196,-0.00010202,0.10929248,0.00985828,7.61E-09,5
2.01310531,3.11624349,0.66762102,0.56199807,2.48E-06,0.15637392,-8.759E-05,-0.00440432,-7.64E-06,-9.35E-06,0.01588122,0.0013628,2.17E-06,0.09107768,-0.00090267,-1.666E-05,2.73E-05,-0.12058148,-0.00739168,0.07416813,-0.00012228,2.804E-05,-0.10400163,-0.00123006,9.791E-05,4.33E-05,0.12501936,0.01539768,2.74E-06,6
1.98399095,3.52238305,0.60248839,0.58768162,1.1E-07,0.15122116,-0.00042463,0.00060759,-2.79E-06,1.18E-05,0.00728062,0.00440531,5.029E-05,0.08065147,0.00127178,4.167E-05,-4.121E-05,-0.10809417,-0.01136037,0.07356623,-0.0002268,-0.00013871,-0.10744696,-0.00319825,-0.00011407,-7.725E-05,0.12866443,0.01527985,3.67E-06,7
2.11144914,3.03697346,0.72690827,0.5182927,-1.09E-06,0.15617131,0.00117587,-0.01942108,7.7E-07,-1.11E-06,0.03823168,-0.00166738,-3.2E-07,0.10917254,-0.00405342,2.72E-06,-2.45E-06,-0.13913885,-0.00891717,0.0596796,-3.59E-05,4.493E-05,-0.07824306,-0.00084169,-2.467E-05,1.252E-05,0.09847758,0.02443861,5.76E-06,8
1.92336513,3.10531264,0.73302279,0.58452431,-1.8E-06,0.15881566,0.00119315,0.00584147,4.07E-06,1.01E-06,-0.0023819,-0.0002541,-5.83E-06,0.07658658,-0.00126925,2.6E-07,-3.59E-06,-0.102834,-0.00666409,0.07986509,2.97E-05,1.123E-05,-0.1144862,-0.00139985,-1.313E-05,2.4E-06,0.14255631,0.01998081,4.37E-06,9
1.56009372,2.80150848,0.57413624,0.65806999,1.7E-07,0.14436054,0.00112236,0.02921807,-6.5E-07,7.6E-07,-0.04366308,0.00144375,3.26E-06,0.01539914,0.00117409,7.03E-06,-2.63E-06,-0.02827507,-0.00649104,0.04808479,-2.426E-05,-8.42E-06,-0.07291062,-0.00423502,-2.442E-05,6.87E-06,0.09902155,0.0139458,5.15E-06,10
1.6805102,3.0703705,0.59890421,0.64667883,1.72E-06,0.14681179,0.00132012,0.02416787,-5.24E-06,-7E-08,-0.03433975,0.0016788,2.97E-06,0.03079316,0.00128122,1.01E-05,-3E-06,-0.04769953,-0.00783459,0.06053983,-6.91E-05,-6.13E-06,-0.09069442,-0.00489247,-3.28E-05,1.093E-05,0.11893919,0.01674863,6.64E-07,11
1.71912139,3.02143629,0.54660901,0.64839227,-7E-08,0.14463398,0.00054863,0.02178207,-7.1E-07,6.03E-06,-0.03067157,0.00279053,9.42E-06,0.03465149,0.00161956,1.181E-05,-2.735E-05,-0.05211326,-0.00875018,0.06183226,-5.113E-05,-7.366E-05,-0.09246629,-0.00481009,-6.565E-05,1.936E-05,0.12054887,0.01616627,2.89E-07,12
2.06127882,3.60389303,0.5372054,0.57460737,-7E-07,0.14631791,-0.00245798,-0.00769686,2.76E-06,-7.63E-06,0.02134424,0.00672632,-2.536E-05,0.08944623,0.0016966,-1.731E-05,3.285E-05,-0.11834489,-0.01163294,0.06617737,0.00013496,-2.823E-05,-0.09527582,-0.00193881,5.888E-05,2.245E-05,0.11080452,0.00864295,4.83E-06,13
2.12695978,3.30807818,0.57635808,0.53778136,2.5E-07,0.14720984,-0.00301371,-0.01778408,-1.6E-06,1.085E-05,0.03994422,0.00495539,4.532E-05,0.10247802,0.00011952,3.322E-05,-1.803E-05,-0.13390972,-0.00803432,0.05587611,-0.00012313,-0.00017592,-0.07783179,-0.00015966,-6.231E-05,-0.00012374,0.08363547,0.00526162,6.63E-06,14
