bondLen1,bondLen2,bondAng,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,intgErr,sampNum
1.87233811,1.55304195,1.70445439,-1.22436601,6.21E-06,-0.2271739,-0.18213039,-0.41342825,5.66E-06,3.794E-05,-0.04722311,-0.19227903,-0.00012469,-0.29824315,-0.32438846,-0.00010656,8.656E-05,0.4826228,-0.31314426,1.74005757,-0.00030423,-0.00066542,-0.2223486,0.36463009,-0.00055766,-8.671E-05,2.82671699,0.70590866,6.29E-06,1
1.58938985,2.10726444,2.11462098,-1.2391614,-1.08E-06,-0.07954258,-0.21963541,-0.33840316,-3.32E-06,-1.13E-06,0.22130181,-0.26277807,1.197E-05,-0.0886386,-0.24573824,-6.7E-06,-1.556E-05,0.66093513,0.04338278,1.74971269,6.044E-05,3.999E-05,-0.50429109,1.25262017,5.531E-05,-0.00012343,0.44489754,1.32868755,3.24E-06,2
2.04661084,2.17446863,1.9225721,-1.08336267,-5.3E-07,-0.17674139,-0.21625013,-0.39559134,-2.03E-06,8E-08,0.05722646,-0.27627422,5.42E-06,-0.20679622,-0.3515308,-6.98E-06,-1.68E-06,0.81108939,-0.23680112,1.93788035,1.658E-05,7.25E-06,-0.33300047,0.92019511,-7.1E-07,-2.29E-05,2.00152925,1.65812235,4.29E-06,3
2.09147299,2.05140506,1.89023468,-1.10458369,4.6E-07,-0.16731747,-0.24125606,-0.3844934,-2.8E-07,2.14E-06,0.0930092,-0.24408122,-4.01E-06,-0.2482068,-0.32737641,-3E-06,1.85E-06,0.77348708,-0.23713948,1.94539208,-5.18E-06,-1.447E-05,-0.28618162,0.85697424,-1.89E-06,4.57E-06,2.18288191,1.63115286,3.92E-06,4
2.05446502,1.78419685,1.79716486,-1.16567403,7E-08,-0.19164495,-0.2419034,-0.38169805,7.2E-07,2.5E-06,0.06520355,-0.20994569,-1.463E-05,-0.29636797,-0.30986269,-1.157E-05,1.505E-05,0.63971222,-0.27133265,1.89133702,-5.85E-05,-0.00011322,-0.21892447,0.61534767,-0.00011267,-1.297E-05,2.64172263,1.2676827,1.08E-06,5
2.01310531,1.97755425,1.79209695,-1.13437834,-8.8E-07,-0.19769286,-0.25133535,-0.37901848,-1.62E-06,-2.94E-06,0.05310229,-0.20485203,7.76E-06,-0.28037235,-0.33954469,9.4E-07,-7.05E-06,0.65152397,-0.3106764,1.94349502,1.084E-05,2.021E-05,-0.14808093,0.63560537,5.13E-06,-1.367E-05,2.74936739,1.30552034,2.77E-06,6
1.98399095,2.197172,2.00192937,-1.11052979,-3.9E-07,-0.17072328,-0.20833806,-0.37572035,-1.12E-06,-5.1E-07,0.07582582,-0.30430134,3.17E-06,-0.14893466,-0.32641031,-9.1E-07,2.1E-07,0.8117724,-0.13872148,1.9208322,7.42E-06,4.84E-06,-0.46976819,1.07514365,-4.99E-06,3.11E-06,1.4580989,1.64852975,3.67E-06,7
2.11144914,2.02442436,1.64886145,-1.06726236,-2E-08,-0.21293413,-0.2473174,-0.41948488,4.2E-06,4.99E-06,0.03909228,-0.1244254,-2.811E-05,-0.37436961,-0.37656597,-1.233E-05,4.155E-05,0.53263295,-0.38961401,1.93717306,-0.00010582,-0.00014486,-0.01711579,0.28522402,-0.00017032,4.213E-05,3.38168432,0.53799368,6.64E-07,8
1.92336513,2.11307552,1.75371258,-1.110373,-1.07E-06,-0.21539325,-0.2314721,-0.39763569,-2.43E-06,-2.94E-06,-0.00860112,-0.19773393,1.352E-05,-0.27125669,-0.38562298,3.74E-06,-6.71E-06,0.60798391,-0.38514157,1.93468598,4.344E-05,3.404E-05,-0.08401205,0.54280629,2.735E-05,-1.085E-05,2.9484278,1.1123222,5.35E-06,9
1.56009372,1.71541963,2.05084935,-1.30764113,-1.93E-06,-0.08626696,-0.21439684,-0.34990024,-9.73E-06,4.57E-06,0.20005343,-0.26226805,2.26E-05,-0.14294048,-0.22575179,-6.404E-05,3.953E-05,0.61050289,-0.02439478,1.63847188,4.562E-05,-2.572E-05,-0.44048869,1.04141523,-0.0001912,-1.775E-05,0.80964047,1.33784194,1.71E-05,10
